Group1_key,ecatalogue_key,CatFullNumber,Present Sci name,Phylum,Class,Order,Family,Genus,Ocean,SeaGulf,BaySound,Country,ProvinceStateTerritory,DistrictCountyShire,Township,NearestNamedPlace,PreciseLocation,AquDepthFromMet,AquDepthToMet,ColDate,Year Collected,Collector,Lat,Long
9,9,IZ.000162.AN,Nicolea simplex,Annelida,Polychaeta,Terebellida,Terebellidae,Nicolea,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,West Haven,Savin Rock,,,,1865,,Verrill,,
123,123,IZ.000795.AN,Notomastus luridus,Annelida,Polychaeta,Capitellida,Capitellidae,Notomastus,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,West Haven,Savin Rock,,,1872-05-,1872,Verrill,41.275,-72.964
217,217,IZ.007265.CN,Obelia bidentata,Cnidaria,Hydrozoa,Hydroida,Campanulariidae,Obelia,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,Branford,Thimble Islands,in pools,,,1874-09-29,1874,Verrill,41.279,-72.797
87,87,IZ.000432.TN,Omalosecosa ramulosa,Bryozoa,Gymnolaemata,Cheilostomata,Celleporidae,Omalosecosa,Atlantic Ocean,,,USA,,,,Long Island Sound,,,,1874-07-23,1874,Verrill,,
446,446,IZ.102173,Ostracoda,Arthropoda,Ostracoda, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,Guilford,Faulkner's Island,,,,1870-10-02,1870,Verrill,41.321,-72.693
243,243,IZ.007935.CR,Pagurus longicarpus,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Atlantic Ocean,,,USA,,,,Long Island Sound,,,,,,Verrill,,
244,244,IZ.007943.CR,Pagurus longicarpus,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,Branford,Thimble Islands,Outer Island,,,,,Verrill,41.279,-72.797
215,215,IZ.006900.CR,Pagurus pollicaris,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Atlantic Ocean,,,USA,,,,Long Island Sound,,,,1865,1865,Verrill,,
245,245,IZ.007954.CR,Pagurus pollicaris,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,Branford,Thimble Islands,Outer Island,,,,,Verrill,41.279,-72.797
16,16,IZ.000188.AN,Parasabella microphthalma,Annelida,Polychaeta,Phyllodocida,Sabellidae,Parasabella,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,New Haven,Lighthouse Point,5 mile point,,,1871-10-,1871,Verrill,41.307,-72.925
62,62,IZ.000399.AN,Parasabella microphthalma,Annelida,Polychaeta,Phyllodocida,Sabellidae,Parasabella,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,New Haven,South End,In decayed wood,,,1866-12-,1866,Verrill,41.307,-72.925
351,351,IZ.044820,Parasabella microphthalma,Annelida,Polychaeta,Phyllodocida,Sabellidae,Parasabella,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,1877,1877,Verrill,41.307,-72.925
352,352,IZ.044825,Parasabella microphthalma,Annelida,Polychaeta,Phyllodocida,Sabellidae,Parasabella,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
180,180,IZ.002899,Parasmittina nitida,Bryozoa,Gymnolaemata,Cheilostomata,Smittinidae,Parasmittina,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,Thimble Islands,,,,1874,1874,Verrill,,
189,189,IZ.004891.EC,Pentamera pulcherrima,Echinodermata,Holothuroidea,Dendrochirotida,Phyllophoridae,Pentamera,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,Thimble Islands,,,,1874-09-23,1874,Verrill,,
267,267,IZ.008882.BV,Petricolaria pholadiformis,Mollusca,Bivalvia,Veneroida,Petricolidae,Petricola,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,Branford,Thimble Islands,,,,,,Verrill,41.279,-72.797
13,13,IZ.000179.AN,Phyllodoce sp.,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,Atlantic Ocean,,,USA,,,,Long Island Sound,,,,1866,,Verrill,,
31,31,IZ.000224.AN,Phylo ornatus,Annelida,Polychaeta,Orbiniida,Orbiniidae,Phylo ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,West Haven,Savin Rock,,,,1870-10-,1870,Verrill,41.275,-72.964
165,165,IZ.002718.AN,Phylo ornatus,Annelida,Polychaeta,Orbiniida,Orbiniidae,Phylo ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,West Haven,Savin Rock,,,1872-05-,1872,Verrill,41.275,-72.964
206,206,IZ.005829.CR,Pinnixa chaetopterana,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnixa,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,,,,,,Verrill,41.307,-72.925
183,183,IZ.003868.CR,Pinnixa sayana,Arthropoda,Malacostraca,Decapoda,Pinnotheridae,Pinnixa,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,West Haven,Savin Rock,,,,1872-05-22,1872,Verrill,41.275,-72.964
14,14,IZ.000184.AN,Pista palmata,Annelida,Polychaeta,Terebellida,Terebellidae,Pista,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,West Haven,Savin Rock,(and Sandy Point),,,1866-10-,,Verrill,41.275,-72.964
59,59,IZ.000395.AN,Pista palmata,Annelida,Polychaeta,Terebellida,Terebellidae,Pista,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,West Haven,Savin Rock,(and South End),,,1866-12-,1866,Verrill,41.275,-72.964
67,67,IZ.000406.AN,Pista palmata,Annelida,Polychaeta,Terebellida,Terebellidae,Pista,Atlantic Ocean,,Long Island Sound,USA,Connecticut,,,,,,,1866-10-,1866,Verrill,,
168,168,IZ.002746.AN,Pista palmata,Annelida,Polychaeta,Terebellida,Terebellidae,Pista,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,Branford,Thimble Islands,,,,,,Verrill,41.279,-72.797
24,24,IZ.000213.AN,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,Stony Creek,,,,1871-05-15,1871,Verrill,41.279,-72.797
172,172,IZ.002843.AN,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,South End,,,1874-11-,1874,Verrill,41.307,-72.925
366,366,IZ.046011,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,Branford,Thimble Islands,tide pool,,,1875-05-24,1875,Verrill,41.279,-72.797
367,367,IZ.046015,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,Branford,Thimble Islands,Outer Island,,,,,Verrill,41.279,-72.797
368,368,IZ.046017,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,Branford,Thimble Islands,tide pool,,,1875-05-24,1875,Verrill,41.279,-72.797
369,369,IZ.046018,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,Stony Creek,,,,1871-05-15,1871,Verrill,41.279,-72.797
370,370,IZ.046024,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,Branford,Thimble Islands,Outer Island,,,,1909,Verrill,41.279,-72.797
371,371,IZ.046025,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,Branford,Thimble Islands,Outer Island,,,1894-10-,1894,Verrill,41.279,-72.797
372,372,IZ.046030,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,Branford,Thimble Islands,,,,,,Verrill,41.279,-72.797
373,373,IZ.046031,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,Guilford,Falkner Island,,,,1873-10-02,1873,Verrill,41.213,-72.654
374,374,IZ.046032,Polychaeta,Annelida,Polychaeta, , , ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,Branford,Thimble Islands,,,,1873,1873,Verrill,41.279,-72.797
